id,category,urgency_level,urgency_score,text_description,image_description,issue_type,location_type,timestamp
road_problems_HIGH_9454,road_problems,HIGH,10,I am writing to inform danger: road collapse highway poses immediate threat to public safety. dangerous intervention needed. causing accidents. pedestrians at risk. this happened yesterday. already caused accidents. visible from the road.,Image shows severe road collapse with deep holes visible highway. Photo taken morning shot with after rain. Close-up detail visible.,road collapse,highway,2025-08-28 06:10:09.899586
road_problems_HIGH_6839,road_problems,HIGH,9,Critical issue - broken roads bridge. This is a serious safety risk. Please address immediately. Causing accidents. Vehicles getting damaged. Noticed this morning. Already caused accidents. In a busy area.,Image shows severe broken roads with deep holes visible bridge. Photo taken in the evening with overcast sky. Close-up detail visible.,broken roads,bridge,2025-08-30 06:10:09.899586
road_problems_HIGH_4929,road_problems,HIGH,9,DANGER: road collapse main road poses immediate threat to public safety. Dangerous intervention needed. Causing accidents. Pedestrians at risk. Just saw this. Already damaged vehicles. Close to residential homes.,Image shows severe road collapse with people avoiding the area main road. Photo taken afternoon lighting with sunny conditions. Clear visibility.,road collapse,main road,2025-09-18 06:10:09.900585
road_problems_HIGH_3071,road_problems,HIGH,8,DANGER: waterlogging bridge poses immediate threat to public safety. Urgent intervention needed. Causing accidents. Pedestrians at risk. Happening right now. Already caused accidents. Close to residential homes.,Image shows severe waterlogging with visible damage to vehicles bridge. Photo taken morning shot with overcast sky. Good image quality.,waterlogging,bridge,2025-08-30 06:10:09.900585
road_problems_HIGH_7443,road_problems,HIGH,8,DANGER: cracks residential street poses immediate threat to public safety. Serious intervention needed. Causing accidents. Traffic chaos. Noticed this morning. Already damaged vehicles. Close to residential homes.,Image shows severe cracks with warning cones placed residential street. Photo taken afternoon lighting with after rain. Clear visibility.,cracks,residential street,2025-09-22 06:10:09.900585
road_problems_HIGH_9422,road_problems,HIGH,9,There is a emergency situation: broken roads bridge creating life-threatening conditions. immediate response required. causing accidents. traffic chaos. this happened yesterday. already injured someone. in a busy area.,Image shows severe broken roads with deep holes visible bridge. Photo taken in the evening with after rain. Clear visibility.,broken roads,bridge,2025-08-29 06:10:09.900585
road_problems_HIGH_9828,road_problems,HIGH,10,Emergency situation: waterlogging main road creating life-threatening conditions. Immediate response required. Causing accidents. Pedestrians at risk. Happening right now. Already damaged vehicles. Close to residential homes.,Image shows severe waterlogging with visible damage to vehicles main road. Photo taken afternoon lighting with sunny conditions. Multiple angles shown.,waterlogging,main road,2025-09-26 06:10:09.900585
road_problems_HIGH_7455,road_problems,HIGH,9,Hey there's a danger: cracks main road poses immediate threat to public safety. life-threatening intervention needed. causing accidents. pedestrians at risk. noticed this morning. already injured someone. visible from the road.,Image shows severe cracks with warning cones placed main road. Photo taken morning shot with overcast sky. Good image quality.,cracks,main road,2025-08-27 06:10:09.900585
road_problems_HIGH_7848,road_problems,HIGH,10,Help! We have emergency situation: road collapse highway creating life-threatening conditions. immediate response required. causing accidents. traffic chaos. this happened yesterday. already caused accidents. in a busy area.,Image shows severe road collapse with deep holes visible highway. Photo taken morning shot with clear weather. Multiple angles shown.,road collapse,highway,2025-09-12 06:10:09.900585
road_problems_HIGH_7936,road_problems,HIGH,9,This concerns me urgent: uneven surface causing serious safety hazard main road. dangerous action needed cannot wait. causing accidents. traffic chaos. just saw this. already injured someone. close to residential homes.,Image shows severe uneven surface with warning cones placed main road. Photo taken morning shot with clear weather. Good image quality.,uneven surface,main road,2025-09-15 06:10:09.900585
